MaTin;TenDuAn;Phuong;Duong;Gia(ty);DienTich;ThanhPho;Quan;MoTaNgan;SoPhongNgu;NoiThat;SoTang;MatTien;DuongVao;id;KieuNha
39651587;Nhà 2 lầu 2 MT Hàn Thuyên TĐ. DT 5,7 * 24,5 = 140m2. Gía 18,5 tỷ. TL;Bình Thọ;Hàn Thuyên;18.5;140;Hồ Chí Minh;Thủ Đức;Nhà mặt phố tại đường Hàn Thuyên;7;Không;2;5,7 m;595.37 m;17;Nhà mặt phố 
41039790;Cực hiếm nhà hẻm xe hơi CMT8, Cư Xá Tự Do, phường 7, Tân Bình - 52m2 - 6.7 tỷ;7;Cách Mạng Tháng Tám;6.7;52;Hồ Chí Minh;Tân Bình;Nhà riêng tại đường Cách Mạng Tháng Tám;7;Có;5;6.19 m;5 m;18;Nhà riêng 
38458525;Cần tiền bán gấp lô đất giá 2tỷ55, dân cư hiện hữu, xây dựng tự do;Bình Chiểu;Ngô Chí Quốc;2.55;51;Hồ Chí Minh;Thủ Đức;Bán đất tại đường Ngô Chí Quốc;7;Không;2;4,5 m;5 m;19;Bán đất 
39395746;MT Lò Lu Q9. DT: 9,5 * 24 = 228m2. Giá 18,5 tỷ TL;Trường Thạnh;Lò Lu;18.5;228;Hồ Chí Minh;Quận 9;Nhà mặt phố tại đường Lò Lu;6;Không;5;22.13 m;115.5 m;20;Nhà mặt phố 
40952972;MT đường 22, P. PLB, Q9, DT: 5,2 * 21=100m2 công nhận, giá 11 tỷ;Phước Long B;22;11.0;100;Hồ Chí Minh;Quận 9;Nhà mặt phố tại đường 22;4;Không;5;5,2 m;486.42 m;21;Nhà mặt phố 
40517125;Bán nhà 1/ CMT8, Phường 11, Q3 DT 4*12m, 2 tầng 3 phòng, chỉ 5,6 tỷ;11;Cách Mạng Tháng Tám;5.6;48;Hồ Chí Minh;Quận 3;Nhà riêng tại đường Cách Mạng Tháng Tám;3;Không;2;46.96 m;522.53 m;22;Nhà riêng 
41080854;Bán gấp! Mặt tiền Lê Đức Thọ - DT: 6x40m - Hầm 8 tầng - HĐT: 250tr/th - Giá bán: 49 tỷ thương lượng;17;Lê Đức Thọ;49.0;240;Hồ Chí Minh;Gò Vấp;Nhà mặt phố tại đường Lê Đức Thọ;4;Có;8;30.42 m;287.51 m;23;Nhà mặt phố 
41080839;Bán nhà mặt tiền kinh doanh Xô Viết Nghệ Tĩnh P17 Bình Thạnh, DT 4x16m 4 tầng giá 17.5 tỷ;17;Xô Viết Nghệ Tĩnh;17.5;64;Hồ Chí Minh;Bình Thạnh;Nhà mặt phố tại đường Xô Viết Nghệ Tĩnh;7;Có;4;27.9 m;240.7 m;24;Nhà mặt phố 
41080777;Hot, bán nhà MT Bàu Cát, quận Tân Bình - DT: 10 x 20m - HĐT: 110 tr/tháng - giá chốt: 49 tỷ;14;Bàu Cát;49.0;200;Hồ Chí Minh;Tân Bình;Nhà mặt phố tại đường Bàu Cát;7;Không;4;10 m;593.58 m;25;Nhà mặt phố 
41007393;MT Hoàng Diệu 2 TĐ. DT: 8 * 36m = 252m2 công nhận. Gía 35,2 tỷ. TL;Linh Trung;Hoàng Diệu 2;35.0;252;Hồ Chí Minh;Thủ Đức;Nhà mặt phố tại đường Hoàng Diệu 2;6;Không;3;8 m;42.18 m;26;Nhà mặt phố 
41080699;Siêu dòng tiền! Mặt tiền Huỳnh Văn Chính - DT: 14x30m - Hầm 7 tầng - HĐT: 400tr/th - Giá bán: 79 tỷ;Phú Trung;Huỳnh Văn Chính;79.0;420;Hồ Chí Minh;Tân Phú;Nhà mặt phố tại đường Huỳnh Văn Chính;4;Có;8;9.15 m;337.22 m;27;Nhà mặt phố 
40511651;Bán nhà đường Trần Bình Trọng P3 Q5 (5x22m, công nhận 90m2, nhà mới 3 tầng ở liền) 17.2 tỷ;3;Trần Bình Trọng;17.2;90;Hồ Chí Minh;Quận 5;Nhà riêng tại đường Trần Bình Trọng;7;Không;3;5 m;186.06 m;28;Nhà riêng 
40564149;Bán nhà 4 tầng mới CMT8 khúc Đỗ Thị Lời ngang 4m vuông vức, 34m2 giá chỉ nhỉnh 5 tỷ;11;Đỗ Thị Lời;5.3;34;Hồ Chí Minh;Quận 3;Nhà riêng tại đường Đỗ Thị Lời;3;Có;4;4 m;3 m;29;Nhà riêng 
40074921;Nhà 2 lầu 2 MT Đường 68 P. Hiệp Phú Q9. DT: 15 * 10m = 150m2. Cách Lê Văn Việt 80m. Giá 15,9 tỷ;Hiệp Phú;68;15.9;150;Hồ Chí Minh;Quận 9;Nhà mặt phố tại đường 68;6;Không;4;37.41 m;174.33 m;30;Nhà mặt phố 
40954021;MT Ngô Chí Quốc, p. Bình Chiểu, TĐ. DT: 43x55m = 2.400m2 công nhận, vuông vức. Giá 80 tỷ;Bình Chiểu;Ngô Chí Quốc;80.0;2400;Hồ Chí Minh;Thủ Đức;Nhà mặt phố tại đường Ngô Chí Quốc;3;Không;3;43 m;429.9 m;31;Nhà mặt phố 
40953263;Nhà 1 hầm 6 lầu MT Hữu Nghị, TĐ. DT: 4,3 * 22m = 95m2. HĐ thuê 40tr/1tháng. Giá 18 tỷ;Bình Thọ;Hữu Nghị;18.0;95;Hồ Chí Minh;Thủ Đức;Nhà mặt phố tại đường Hữu Nghị;7;Không;7;4,3 m;528.5 m;32;Nhà mặt phố 
41080439;Siêu VIP! Mặt Tiền Phạm Ngũ Lão - DT: 9x25m - Hầm 11 Tầng - HĐT: 250tr/th - Giá bán: 99 tỷ TL;Phạm Ngũ Lão;Phạm Ngũ Lão;99.0;225;Hồ Chí Minh;Quận 1;Nhà mặt phố tại đường Phạm Ngũ Lão;5;Có;12;8.42 m;480.38 m;33;Nhà mặt phố 
40953037;MT 2 lầu Ngô Quyền, P. Hiệp Phú, Q9, DT: 4,1 * 21m = 86m2, gía 12,5 tỷ, TL;Hiệp Phú;Ngô Quyền;12.5;86;Hồ Chí Minh;Quận 9;Nhà mặt phố tại đường Ngô Quyền;4;Không;3;4,1 m;37.9 m;34;Nhà mặt phố 
40382749;Cần bán căn hộ Cộng Hòa Garden 1PN 50m2 đầy đủ nội thất giá 2tỷ1, LH 0948 032 ***;12;Cộng Hòa;2.1;50;Hồ Chí Minh;Tân Bình;Căn hộ chung cư tại Cộng Hòa Garden;1;Không;3;43.35 m;179.79 m;35;Căn hộ chung cư 
41082294;Bán nhà mới đẹp hẻm xe hơi 1806 đường Huỳnh Tấn Phát - 4mx19m gần Phú Mỹ Hưng xe hơi đậu trong nhà;;Huỳnh Tấn Phát;6.49;76;Hồ Chí Minh;Nhà Bè;Nhà riêng tại đường Huỳnh Tấn Phát;3;Có;3;44.84 m;219.4 m;36;Nhà riêng 
38682992;Gấp bán hạ giá 800tr. Bán nhà Q Tân Phú 4x16m 4 tầng nhà mới 4pn 5.2 tỷ;Phú Thạnh;Thạch Lam;5.2;64;Hồ Chí Minh;Tân Phú;Nhà riêng tại phố Thạch Lam;4;Có;4;29.62 m;4 m;37;Nhà riêng 
41088518;LÊN SÓNG CĂN SIÊU PHẨM NGAY CHỢ HTTĐƯỜNG LÊ VĂN THỌ P8 GÒ VẤPGIÁ 3.2 TỶ DT: 4.5X6 TRỆT 1LẦU.;8;Lê Văn Thọ;3.2;24;Hồ Chí Minh;Gò Vấp;Nhà riêng tại đường Lê Văn Thọ;2;Có;1;25.04 m;85.62 m;38;Nhà riêng 
40692730;LAVIDA PLUS-ĐỐI DIỆN VIVO Q7: LẤY CĂN THEO NHU CẦU, GIÁ TỐT, OT TỪ 1.5TỶ- 2TỶ, CĂN HỘ 2.8TỶ- 3.7TỶ;Tân Phong;Nguyễn Văn Linh;1.9;37;Hồ Chí Minh;Quận 7;Căn hộ chung cư tại Lavida Plus;1;Có;2;45.53 m;314.72 m;39;Căn hộ chung cư 
40921636;NHÀ VINHOMES NGAY VINCOM CHIẾT KHẤU 36%, THANH TOÁN CHỈ 400 TRIỆU MIỄN LÃI 2 NĂM;Long Thạnh Mỹ;;2.7;60;Hồ Chí Minh;Quận 9;Căn hộ chung cư tại Vinhomes Grand Park;2;Có;1;51.17 m;597.56 m;40;Căn hộ chung cư 
41087213;CĂN HỘ CELADON CITY - DIAMOND CENTERY. TỪ 2,1 TỶ NHẬN NHÀ. CHUẨN RESORT, SỐNG TINH HOA;;;6.5;86;Hồ Chí Minh;Tân Phú;Căn hộ chung cư tại Celadon City;2;Có;5;10.66 m;7.99 m;41;Căn hộ chung cư 
41008585;HOT DEAL - 3PN - KHÔNG PHẢI C3 - SỞ HỮU LÂU DÀI - HƯỚNG MÁT - TIN THẬT 100%;22;Điện Biên Phủ;9.8;119;Hồ Chí Minh;Bình Thạnh;Căn hộ chung cư tại Vinhomes Central Park;3;Có;2;7.2 m;222.75 m;42;Căn hộ chung cư 
40899425;Siêu phẩm đất ngay Vành Đai 2 - 250m2 ngang 10 vuông vức - Xây cao hoàn công ngay chỉ 56tr/m2;Trường Thọ;Số 8;14.0;250;Hồ Chí Minh;Thủ Đức;Bán đất tại đường Số 8;8;Không;5;10 m;6 m;43;Bán đất 
41077757;GIÁ TỐT- VỊ TRÍ ĐẸP- FULL RỔ HÀNG GIÁ GỐC CĐT KHU DIAMOND CELADON CITY: CK25%, MIỄN LÃI GỐC 36THÁNG;Sơn Kỳ;N1;4.5;92;Hồ Chí Minh;Tân Phú;Căn hộ chung cư tại Celadon City;2;Không;4;4.09 m;392.95 m;44;Căn hộ chung cư 
41083005;CHỈ 2,85 TỶ CHO CĂN 3PN 82M2 TẠI VINHOMES GRAND PARK, CHỦ CẮT LỖ BÁN GẤP GIẢM SÂU CHO KHÁCH;Long Thạnh Mỹ;;2.85;82;Hồ Chí Minh;Quận 9;Căn hộ chung cư tại Vinhomes Grand Park;3;Không;5;34.41 m;45.79 m;45;Căn hộ chung cư 
40941420;CHỦ NHÀ GỬI BÁN LỖ CĂN HỘ 3PN VINHOMES GRAND PARK, GIÁ CHỈ 2,85 TỶ CÒN THƯƠNG LƯỢNG;Long Thạnh Mỹ;;2.85;82;Hồ Chí Minh;Quận 9;Căn hộ chung cư tại Vinhomes Grand Park;3;Không;2;36.79 m;93.62 m;46;Căn hộ chung cư 
41083109;CĂN HỘ OPERA (1PN-11,2TỶ)(2PN - 14,5TỶ)(3PN-26TỶ)(4PN-35TỶ), CÓ CĂN BÁN RẺ HƠN 1TỶ DO VAY NGÂN HÀNG;Thủ Thiêm;Đại Lộ Vòng Cung;14.5;80;Hồ Chí Minh;Quận 2;Căn hộ chung cư tại The Opera Residence;2;Không;4;34.02 m;185.2 m;47;Căn hộ chung cư 
41082307;RỔ HÀNG CELADON CITY TRỰC TIẾP CĐT (KO CHÊNH LỆCH) / CK 17% - THANH TOÁN NHANH - NHÀ SẴN NHẬN NGAY;Sơn Kỳ;N1;5.56;86;Hồ Chí Minh;Tân Phú;Căn hộ chung cư tại Celadon City;2;Có;4;5.96 m;122.82 m;48;Căn hộ chung cư 
40261638;RẺ NHẤT BEVERLY SOLARI. CĂN GÓC 2PN+70M2 GIÁ CHỈ 3.05 TỶ KHU CAO CẤP ĐỐI DIỆN VINCOM LH 0903 040 ***;Long Thạnh Mỹ;;3.05;70;Hồ Chí Minh;Quận 9;Căn hộ chung cư tại Vinhomes Grand Park;3;Không;1;32.26 m;243.39 m;49;Căn hộ chung cư 
40908784;105m2 ngang 5m vuông vức - Full thổ hẻm 1 trục 6m ngay sát mặt tiền Linh Đông - Gần Vành Đai 2;Linh Đông;Linh Đông;5.7;105;Hồ Chí Minh;Thủ Đức;Bán đất tại đường Linh Đông;6;Không;2;5 m;6 m;50;Bán đất 
40284815;NẮM GIỎ HÀNG ĐỘC QUYỀN HƠN 99 CĂN THE OPERA METROPOLE THỦ THIÊM ĐẸP NHẤT, GIÁ TỐT NHẤT THỊ TRƯỜNG;Thủ Thiêm;Đại Lộ Vòng Cung;14.1;77;Hồ Chí Minh;Quận 2;Căn hộ chung cư tại The Opera Residence;2;Không;4;28.93 m;85.88 m;51;Căn hộ chung cư 
41081111;CĂN HỘ LAVIDA PLUS - NHẬN NHÀ Ở NGAY-GIÁ CHỈ TỪ 1TY5/CĂN. HỖ TRỢ VAY 70%, ÂN HẠN GỐC, LÃI 0%, CK 4%;Tân Phong;Nguyễn Văn Linh;1.5;26;Hồ Chí Minh;Quận 7;Căn hộ chung cư tại Lavida Plus;1;Không;3;46.84 m;579.32 m;52;Căn hộ chung cư 
40903573;CẬP NHẬT THÔNG TIN MỚI NHẤT TỪ CHỦ ĐẦU TƯ, BẢNG GIÁ CĂN HỘ CHUNG CƯ, KHU ĐÔ THỊ ĐÁNG SỐNG NHẤT;Long Thạnh Mỹ;Nguyễn Xiển;3.33;90;Hồ Chí Minh;Quận 9;Căn hộ chung cư tại The Rainbow - Vinhomes Grand Park;2;Không;1;4.26 m;500.87 m;53;Căn hộ chung cư 
40941477;TT - RỔ HÀNG 50 CĂN HỘ DỰ ÁN VINHOMES GRANDPARK KHU ĐÔ THỊ ĐÁNG SỐNG BẬC NHẤT SÀI GÒN CẦN BÁN;Long Thạnh Mỹ;Nguyễn Xiển;1.85;52;Hồ Chí Minh;Quận 9;Căn hộ chung cư tại The Rainbow - Vinhomes Grand Park;1;Không;2;9.94 m;406.39 m;54;Căn hộ chung cư 
40952197;CĂN HỘ CHUNG CƯ CAO CẤP TẠI SÀI GÒN, KHU ĐÔ THỊ ĐÁNG SỐNG BẬC NHẤT VINHOMES GRAND PARK;Long Thạnh Mỹ;Nguyễn Xiển;2.55;70;Hồ Chí Minh;Quận 9;Căn hộ chung cư tại The Rainbow - Vinhomes Grand Park;2;Không;5;30.84 m;355.9 m;55;Căn hộ chung cư 
40674626;Bán dãy trọ 160m2 (8x20m) hẻm xe tải tránh nhau Ngay sát Hoàng Diệu 2 - Có thể phân lô;Linh Chiểu;Số 17;12.5;160;Hồ Chí Minh;Thủ Đức;Nhà riêng tại đường Số 17;12;Có;1;8,1 m;10 m;56;Nhà riêng 
40982386;LUMIERE RIVERSIDE EM CHUYÊN SĂN NHỮNG CĂN GIÁ GỐC CẮT LỖ (52M2 - 4,9TỶ) (77M2-6,2TỶ) (101M2-10TỶ);An Phú;Xa Lộ Hà Nội;4.9;52;Hồ Chí Minh;Quận 2;Căn hộ chung cư tại Lumiere Riverside;1;Có;4;21.41 m;33.53 m;57;Căn hộ chung cư 
41000501;CHUYÊN BÁN CĂN HỘ LUMIERE RIVERSIDE TỪ 1 PN ĐẾN 5 PN, DUPLEX, PENTHOUSE, GIÁ TỐT NHẤT;An Phú;Xa Lộ Hà Nội;7.2;77;Hồ Chí Minh;Quận 2;Căn hộ chung cư tại Lumiere Riverside;2;Có;3;13.45 m;316.94 m;58;Căn hộ chung cư 
41007787;TIN GIÁ THẬT EM HIỆP CHUYÊN MUA BÁN CĂN HỘ LUMIERE RIVERSIDE, QUẬN 2;An Phú;Võ Nguyên Giáp;6.15;52;Hồ Chí Minh;Quận 2;Căn hộ chung cư tại Lumiere Riverside;1;Có;2;47.88 m;335.56 m;59;Căn hộ chung cư 
35836191;EM CHÍNH CHỦ BÁN 2 CĂN 2PN2WC Q7 RIVERSIDE 68M2 & 73M2, TỪ 2.7TỶ, VAY LS 5% LH 0939 720 ***;Phú Thuận;Đào Trí;2.7;68;Hồ Chí Minh;Quận 7;Căn hộ chung cư tại Q7 Saigon Riverside;2;Không;4;31.47 m;406.44 m;60;Căn hộ chung cư 
36909607;Q7 RIVERSIDE EM CÓ 2 CĂN CẦN BÁN (1PN 2.15TỶ) (2PN 2.53TỶ) Ở NGAY NHÀ RẤT MỚI XEM NHÀ 0706 679 ***;Phú Thuận;Đào Trí;2.15;53;Hồ Chí Minh;Quận 7;Căn hộ chung cư tại Q7 Saigon Riverside;1;Không;4;50.54 m;515.9 m;61;Căn hộ chung cư 
39912207;"QUẢN LÝ SIÊU HÀNG TỐT SOLARI, STU 1.579; 1PN+2.27TỶ 2PN 2.659; 2PN+3.19TỶ T9 NHẬN NHÀ, ÂN HẠN 4 NĂM";Long Thạnh Mỹ;;2.44;61;Hồ Chí Minh;Quận 9;Căn hộ chung cư tại The Beverly Solari - Vinhomes Grand Park;2;Không;2;11.76 m;79.17 m;62;Căn hộ chung cư 
39704904;"THE BEVERLY - GIÁ TỐT NHẤT T9: STUDIO 2.27 TỶ; 1PN + 2.9 TỶ; 2PN 4.08 TỶ; 3PN 6.45 TỶ, XEM NHÀ 24/7";Long Thạnh Mỹ;;2.9;55;Hồ Chí Minh;Quận 9;Căn hộ chung cư tại The Beverly - Vinhomes Grand Park;1;Không;4;25.37 m;427.3 m;63;Căn hộ chung cư 
41011598;BÁN NHÀ GIÁ RẺ - CẬP NHẬT HƠN 200 CĂN HỘ LUMIERE RIVERSIDE VIEW CỰC ĐẸP, TỪ 1-2-3PN-DUPLEX - PENT;An Phú;Võ Nguyên Giáp;7.0;74;Hồ Chí Minh;Quận 2;Căn hộ chung cư tại Lumiere Riverside;2;Có;3;30.35 m;504.3 m;64;Căn hộ chung cư 
40700826;Giảm 1,5 tỷ bán gấp! Mặt tiền kinh doanh sát Hoàng Diệu 2 - 130m xây 5 tầng hoàn công ngay;Linh Trung;Số 7;8.5;130;Hồ Chí Minh;Thủ Đức;Nhà riêng tại đường Số 7;3;Có;1;4,4 m;16 m;65;Nhà riêng 
40512124;MUA NHÀ ĐẸP GIÁ RẺ - UPDATE MỚI NHẤT 252 CĂN HỘ ĐẢO KIM CƯƠNG VIEW SÔNG ĐẸP,1-2-3-4PN-DUPLEX-PENT;Bình Trưng Tây;104;5.0;72;Hồ Chí Minh;Quận 2;Căn hộ chung cư tại Diamond Island;2;Có;3;19.34 m;490.91 m;66;Căn hộ chung cư 
39742524;NAM LONG MỞ BÁN GIỎ HÀNG DUY NHẤT TRONG THÁNG 10 VỚI ƯU ĐÃI LỚN NHẤT, NHẬN QUÀ TÂN GIA 700TR;An Lạc;Võ Văn Kiệt;3.6;81;Hồ Chí Minh;Bình Tân;Căn hộ chung cư tại Akari City Nam Long;2;Có;2;22.18 m;199.91 m;67;Căn hộ chung cư 
41071039;EM DỪNG CHUYÊN DỰ ÁN CELADON CITY CẬP NHẬP TẤT CẢ GIỎ HÀNG GIÁ TỐT TỪ 1PN - 3PN THÁNG 10/2024;Sơn Kỳ;N1;4.35;98;Hồ Chí Minh;Tân Phú;Căn hộ chung cư tại Celadon City;3;Có;4;36.35 m;564.64 m;68;Căn hộ chung cư 
40063265;RỔ HÀNG CELADON CITY TRỰC TIẾP CĐT (KO CHÊNH)/CK HƠN 17%/KO TRẢ GỐC LÃI TRONG 2X THÁNG/NHÀ HIỆN HỮU;Sơn Kỳ;N1;4.5;85;Hồ Chí Minh;Tân Phú;Căn hộ chung cư tại Celadon City;2;Có;1;50.33 m;540.82 m;69;Căn hộ chung cư 
40756544;GLORY HEIGHTS CĂN HỘ ĐỐI DIỆN VINCOM - GÍA SIÊU TỐT, ƯU ĐÃI LÊN ĐẾN 24% - 38%. LH 0908 494 ***;Long Bình;Nguyễn Xiển;2.6;61;Hồ Chí Minh;Quận 9;Căn hộ chung cư tại Glory Heights - Vinhomes Grand Park;2;Không;5;51.68 m;570.51 m;70;Căn hộ chung cư 
40975823;BÁN ĐẤT PHƯỜNG LINH XUÂN, TP THỦ ĐỨC;Linh Tây;Số 7;3.85;65;Hồ Chí Minh;Thủ Đức;Bán đất tại đường Số 7;5;Không;5;8 m;7 m;71;Bán đất 
40570981;Giảm 500tr Bán gấp lô đất 80m - Đường nhựa 8m thông, GP Xây 4 tầng hoàn công ngay;Linh Tây;Số 6;6.2;80;Hồ Chí Minh;Thủ Đức;Bán đất tại đường Số 6;5;Không;5;4,3 m;8 m;72;Bán đất 
40984106;TẤN TRƯỜNG: ĐỘC QUYỀN 3PN THE OPERA - VIEW SÔNG SÀI GÒN CBD QUẬN 1 - NHÀ HÁT OPERA - 52 TỶ ALL IN;Thủ Thiêm;Đại Lộ Vòng Cung;52.0;138;Hồ Chí Minh;Quận 2;Căn hộ chung cư tại The Opera Residence;3;Không;4;15.44 m;415.41 m;73;Căn hộ chung cư 
38753950;BÁN CĂN HỘ VINHOMES CENTRAL PARK & LANDMARK 81 GIÁ TỐT NHẤT (1 2 3 4 PN PENTHOUSE). LH 0901 692 ***;22;Điện Biên Phủ;6.3;85;Hồ Chí Minh;Bình Thạnh;Căn hộ chung cư tại Vinhomes Central Park;2;Có;4;50.05 m;580.68 m;74;Căn hộ chung cư 
41035150;RỔ HÀNG GIÁ GỐC TỪ CĐT, CK LÊN ĐẾN 15%++ , CAM KẾT LỢI NHUẬN THUÊ 6% 4 NĂM, ÂN HẠN GỐC LÃI 2- 3 NĂM;Sơn Kỳ;N1;6.2;96;Hồ Chí Minh;Tân Phú;Căn hộ chung cư tại Diamond Centery;2;Có;3;11.92 m;110.37 m;75;Căn hộ chung cư 
41074938;SIÊU PHẨM ĐẸP SAY ĐẮM TRỆT LỬNG 2 LẦU 3PN CÓ GARA XE HƠI NGAY KHU TRUNG TÂM;15;Thống Nhất;6.99;50;Hồ Chí Minh;Gò Vấp;Nhà riêng tại đường Thống Nhất;3;Có;3;49.54 m;4 m;76;Nhà riêng 
41074648;ĐẤT CHÍNH CHỦ 80M2 FULL THỔ CƯ. SỔ HỒNG RIÊNG. 550TR SỞ HỮU ĐC LÔ ĐẤT XÃ PHÚ HOÀ ĐÔNG HUYỆN CỦ CHI;;Tỉnh lộ 15;0.55;80;Hồ Chí Minh;Củ Chi;Bán đất tại đường Tỉnh lộ 15;4;Không;4;12 m;12 m;77;Bán đất 
40772022;BÁN NHÀ PHỐ 2 MẶT VIEW, NGAY QL 13, THỦ ĐỨC, GIẢM NGAY 800 TRIỆU;Hiệp Bình Phước;12;6.4;68;Hồ Chí Minh;Thủ Đức;Nhà riêng tại đường 12;4;Có;3;4 m;289.06 m;78;Nhà riêng 
41082572;Nhà phố góc Vườn 168m2 xinh xắn tại KĐT Lakeview Quận 2, 1 trệt 3 lầu, giá 26 tỷ.;;;26.0;168;Hồ Chí Minh;Quận 2;Nhà biệt thự, liền kề tại Khu đô thị Lakeview City;4;Có;4;12 m;431.17 m;79;Nhà biệt thự, liền kề 
